97985,50331
97985,51551
98098,51551
98098,52782
98273,52782
98273,53962
97683,53962
97683,55178
97657,55178
97657,56384
97510,56384
97510,57590
97360,57590
97360,58841
97443,58841
97443,60041
97206,60041
97206,61085
96316,61085
96316,62442
96723,62442
96723,63511
96016,63511
96016,64700
95746,64700
95746,65835
95304,65835
95304,67049
95078,67049
95078,68127
94487,68127
94487,69102
93680,69102
93680,70479
93774,70479
93774,71247
92569,71247
92569,72361
92097,72361
92097,73803
92197,73803
92197,74438
90867,74438
90867,75916
90947,75916
90947,76807
90071,76807
90071,77763
89308,77763
89308,78706
88532,78706
88532,79768
87914,79768
87914,80719
87147,80719
87147,81347
86009,81347
86009,82131
85074,82131
85074,83509
84768,83509
84768,83876
83411,83876
83411,85066
82875,85066
82875,85608
81727,85608
81727,86332
80757,86332
80757,87270
79964,87270
79964,88319
79240,88319
79240,89038
78254,89038
78254,89945
77395,89945
77395,89940
75929,89940
75929,91182
75276,91182
75276,91122
73826,91122
73826,92284
73089,92284
73089,93082
72127,93082
72127,92924
70689,92924
70689,93673
69702,93673
69702,93827
68450,93827
68450,94580
67451,94580
67451,94867
66265,94867
66265,95451
65186,95451
65186,95999
64084,95999
64084,96375
62924,96375
62924,96465
61689,96465
61689,96433
60438,96433
60438,97388
59398,97388
59398,97622
58196,97622
58196,97130
56887,97130
56887,97982
55774,97982
55774,97746
54522,97746
54522,97830
53310,97830
53310,97479
52079,97479
52079,98199
50888,98199
50888,98088
49668,98088
49668,97727
48460,97727
48460,97825
47243,97825
47243,97762
46031,97762
46031,97540
44834,97540
44834,97444
43624,97444
43624,97115
42449,97115
42449,97356
41174,97356
41174,97013
39999,97013
39999,96422
38889,96422
38889,96562
37600,96562
37600,95754
36565,95754
36565,95538
35366,95538
35366,95283
34171,95283
34171,94590
33134,94590
33134,94113
32025,94113
32025,93542
30957,93542
30957,93052
29857,93052
29857,93303
28386,93303
28386,91992
27694,91992
27694,91666
26495,91666
26495,91480
25194,91480
25194,90486
24374,90486
24374,90106
23169,90106
23169,89267
22264,89267
22264,88144
21583,88144
21583,87848
20283,87848
20283,87048
19362,87048
19362,86270
18425,86270
18425,85571
17413,85571
17413,84715
16541,84715
16541,83890
15638,83890
15638,83118
14674,83118
14674,81713
14407,81713
14407,81186
13160,81186
13160,80164
12480,80164
12480,79014
11977,79014
11977,78284
10919,78284
10919,77077
10518,77077
10518,76216
9616,76216
9616,75269
8829,75269
8829,74296
8067,74296
8067,72849
8154,72849
8154,72040
7085,72040
7085,70828
6787,70828
6787,69545
6675,69545
6675,68743
5477,68743
5477,67450
5424,67450
5424,66444
4640,66444
4640,65072
4890,65072
4890,63945
4454,63945
4454,62761
4206,62761
4206,61689
3534,61689
3534,60446
3527,60446
3527,59302
3095,59302
3095,58206
2323,58206
2323,56908
2728,56908
2728,55772
2038,55772
2038,54529
2183,54529
2183,53315
2102,53315
2102,52102
2008,52102
2008,50880
2240,50880
2240,50308
94703,50308
94703,48457
2176,48457
2176,47245
